Ident,Grade,Salary,Job Fxn Group,F1,F2,F3,F4,F5,F6,F7,F8,F9,Level Descr,L1,L2,L3,L4,L5,L6,L7,L8,Gender,Reten,Ethnic Group,Minority,P2,P1,Yrs of Service,Service Cat,S1,S2,S3,S4,EE Age,Age Cat,Yrs in Job,LevDescN,ServCatN,PerfN
500283,010,89816,Mfg,0,0,0,0,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,0,0,WHITE,0,0,1,35.0,10+,0,0,0,1,62,1,0.25,2,5,3
500295,013,128604,SuppChain,0,0,0,1,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,0,0,WHITE,0,0,0,36.9,10+,0,0,0,1,61,1,16.25,7,5,1
500304,014,189850,Mfg,0,0,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,1,0,33.4,10+,0,0,0,1,61,1,4.25,8,5,2
500312,014,197600,Sales Sup,0,1,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,33.8,10+,0,0,0,1,61,1,11.91666667,8,5,1
500315,013,114825,Mktg,0,0,0,0,0,0,0,1,0,Director,0,0,0,0,0,1,0,0,0,0,WHITE,0,0,0,21.2,10+,0,0,0,1,61,1,11.25,7,5,1
500319,014,187600,Mfg,0,0,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,1,0,32.4,10+,0,0,0,1,61,1,4.5,8,5,2
500322,011,75384,Gen Admin,1,0,0,0,0,0,0,0,0,Manager,0,0,0,1,0,0,0,0,0,0,WHITE,0,0,0,32.6,10+,0,0,0,1,61,1,19.25,5,5,1
500329,015,277700,Sales Sup,0,1,0,0,0,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,1,1,WHITE,0,1,0,25.6,10+,0,0,0,1,60,1,13.25,9,5,2
500333,012,92944,SuppChain,0,0,0,1,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,1,0,WHITE,0,0,0,32.6,10+,0,0,0,1,60,1,7.25,6,5,1
500338,012,101736,Sales Sup,0,1,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,WHITE,0,1,0,35.5,10+,0,0,0,1,60,1,9.25,6,5,2
500356,012,115100,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,1,1,WHITE,0,1,0,27.3,10+,0,0,0,1,59,1,4.5,6,5,2
500365,015,241050,Mfg,0,0,0,0,0,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,0,1,WHITE,0,1,0,36.8,10+,0,0,0,1,59,1,0.25,9,5,2
500369,014,129000,Fin & Acct,0,0,0,0,1,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,ASIAN,1,1,0,37.9,10+,0,0,0,1,59,1,0.25,8,5,2
500378,014,195300,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,0,0,33.3,10+,0,0,0,1,59,1,1.166666667,8,5,1
500394,013,104108,SuppChain,0,0,0,1,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,WHITE,0,0,0,33.3,10+,0,0,0,1,58,1,12.25,7,5,1
500399,008,79206,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,1,WHITE,0,0,1,19.3,10+,0,0,0,1,60,1,4.916666667,1,5,3
500401,012,99224,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,1,0,WHITE,0,0,0,26.4,10+,0,0,0,1,58,1,4.5,6,5,1
500402,012,92944,SuppChain,0,0,0,1,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,WHITE,0,1,0,38.2,10+,0,0,0,1,58,1,9.666666667,6,5,2
500403,014,157900,Fin & Acct,0,0,0,0,1,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,1,0,31.4,10+,0,0,0,1,58,1,5.833333333,8,5,2
500411,012,99224,HR,0,0,1,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,1,0,WHITE,0,0,0,26.1,10+,0,0,0,1,58,1,5.25,6,5,1
500413,013,104108,Mfg,0,0,0,0,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,WHITE,0,0,0,38.9,10+,0,0,0,1,57,1,4.833333333,7,5,1
500414,014,158900,Sales Sup,0,1,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,36.5,10+,0,0,0,1,57,1,10.25,8,5,1
500416,012,86664,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,1,WHITE,0,1,0,20.7,10+,0,0,0,1,57,1,0.25,6,5,2
500422,013,114825,SuppChain,0,0,0,1,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,WHITE,0,0,0,35.2,10+,0,0,0,1,57,1,8.75,7,5,1
500447,014,147350,Mktg,0,0,0,0,0,0,0,1,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,1,0,29.9,10+,0,0,0,1,56,1,5.75,8,5,2
500460,014,189750,Fin & Acct,0,0,0,0,1,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,1,0,33.8,10+,0,0,0,1,56,1,8.25,8,5,2
500466,015,266250,Gen Admin,1,0,0,0,0,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,0,1,WHITE,0,1,0,21.2,10+,0,0,0,1,55,1,13.25,9,5,2
500472,012,105504,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,1,1,WHITE,0,0,0,35.2,10+,0,0,0,1,55,1,4.5,6,5,1
500475,015,254000,Mktg,0,0,0,0,0,0,0,1,0,Vice President,0,0,0,0,0,0,0,1,0,0,WHITE,0,1,0,21.3,10+,0,0,0,1,55,1,17.75,9,5,2
500482,010,88072,Mfg,0,0,0,0,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,0,1,WHITE,0,1,0,25.8,10+,0,0,0,1,55,1,1,2,5,2
500484,014,188500,IT,0,0,0,0,0,1,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,0,WHITE,0,0,0,21.2,10+,0,0,0,1,55,1,14.91666667,8,5,1
500486,011,100512,Fin & Acct,0,0,0,0,1,0,0,0,0,Manager,0,0,0,1,0,0,0,0,0,0,WHITE,0,0,0,33.0,10+,0,0,0,1,55,1,9,5,5,1
500494,013,127073,R&I,0,0,0,0,0,0,1,0,0,Director,0,0,0,0,0,1,0,0,0,1,WHITE,0,1,0,29.0,10+,0,0,0,1,55,1,3.25,7,5,2
500509,010,59296,Gen Admin,1,0,0,0,0,0,0,0,0,Assistant Manager,0,0,1,0,0,0,0,0,0,0,WHITE,0,1,0,20.8,10+,0,0,0,1,54,1,2.25,4,5,2
500522,012,110300,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,WHITE,0,1,0,28.8,10+,0,0,0,1,53,1,4.5,6,5,2
500539,014,168000,Mktg,0,0,0,0,0,0,0,1,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,1,0,29.6,10+,0,0,0,1,53,1,7.25,8,5,2
500546,015,201400,Mktg,0,0,0,0,0,0,0,1,0,Vice President,0,0,0,0,0,0,0,1,0,0,WHITE,0,0,0,21.3,10+,0,0,0,1,52,1,4.75,9,5,1
500551,015,266000,Fin & Acct,0,0,0,0,1,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,1,1,WHITE,0,1,0,28.5,10+,0,0,0,1,52,1,13.75,9,5,2
500553,014,180350,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,1,WHITE,0,1,0,29.1,10+,0,0,0,1,52,1,1.916666667,8,5,2
500575,014,163200,Digital,0,0,0,0,0,0,0,0,1,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,21.2,10+,0,0,0,1,51,1,5.75,8,5,1
500603,014,195650,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,1,0,27.8,10+,0,0,0,1,49,1,2.25,8,5,2
500608,014,183300,IT,0,0,0,0,0,1,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,1,WHITE,0,1,0,25.2,10+,0,0,0,1,49,1,4.5,8,5,2
500616,013,130450,Mfg,0,0,0,0,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,0,0,WHITE,0,0,0,19.8,10+,0,0,0,1,43,1,3.75,7,5,1
500620,014,197000,HR,0,0,1,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,22.6,10+,0,0,0,1,48,1,3.25,8,5,1
500651,013,136259,HR,0,0,1,0,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,0,1,WHITE,0,1,0,15.4,10+,0,0,0,1,41,1,2.916666667,7,5,2
500655,007,52325,SuppChain,0,0,0,1,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,ASIAN,1,0,1,19.8,10+,0,0,0,1,50,1,2.25,1,5,3
500681,014,165000,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,24.3,10+,0,0,0,1,50,1,2.166666667,8,5,1
500708,009,62522,Mfg,0,0,0,0,0,0,0,0,0,Supervisor,0,1,0,0,0,0,0,0,1,0,WHITE,0,0,0,22.6,10+,0,0,0,1,57,1,4.5,3,5,1
500750,007,57013,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,17.7,10+,0,0,0,1,57,1,3.666666667,1,5,1
500876,015,190000,Fin & Acct,0,0,0,0,1,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,0,1,WHITE,0,1,0,15.6,10+,0,0,0,1,38,0,1.25,9,5,2
500889,015,169000,Mktg,0,0,0,0,0,0,0,1,0,Vice President,0,0,0,0,0,0,0,1,0,0,WHITE,0,0,0,20.0,10+,0,0,0,1,57,1,1.25,9,5,1
500905,012,94200,R&I,0,0,0,0,0,0,1,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,1,WHITE,0,1,0,18.8,10+,0,0,0,1,40,0,0.25,6,5,2
500909,012,102992,R&I,0,0,0,0,0,0,1,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,1,WHITE,0,1,0,18.8,10+,0,0,0,1,41,1,2.25,6,5,2
501162,008,56880,Gen Admin,1,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,BLACK,1,0,0,22.5,10+,0,0,0,1,63,1,5.916666667,1,5,1
502703,014,153550,R&I,0,0,0,0,0,0,1,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,0,0,21.3,10+,0,0,0,1,60,1,0.333333333,8,5,1
502708,014,183500,R&I,0,0,0,0,0,0,1,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,0,BLACK,1,1,0,42.8,10+,0,0,0,1,61,1,16.75,8,5,2
502709,011,74337,R&I,0,0,0,0,0,0,1,0,0,Manager,0,0,0,1,0,0,0,0,1,0,WHITE,0,1,0,23.8,10+,0,0,0,1,55,1,0.25,5,5,2
502714,012,104248,R&I,0,0,0,0,0,0,1,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,ASIAN,1,0,0,20.4,10+,0,0,0,1,60,1,14.25,6,5,1
502715,010,80224,R&I,0,0,0,0,0,0,1,0,0,Professional,1,0,0,0,0,0,0,0,0,0,BLACK,1,0,0,20.2,10+,0,0,0,1,60,1,2.25,2,5,1
502720,013,128604,R&I,0,0,0,0,0,0,1,0,0,Director,0,0,0,0,0,1,0,0,0,1,BLACK,1,0,0,23.6,10+,0,0,0,1,49,1,3.25,7,5,1
502730,011,91089,R&I,0,0,0,0,0,0,1,0,0,Manager,0,0,0,1,0,0,0,0,0,0,WHITE,0,0,0,21.1,10+,0,0,0,1,57,1,2,5,5,1
502742,013,124500,IT,0,0,0,0,0,1,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,WHITE,0,0,0,21.3,10+,0,0,0,1,61,1,0.083333333,7,5,1
502754,015,219900,SuppChain,0,0,0,1,0,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,0,1,WHITE,0,1,0,25.7,10+,0,0,0,1,47,1,3.916666667,9,5,2
502831,010,69250,SuppChain,0,0,0,1,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,21.4,10+,0,0,0,1,44,1,0.25,2,5,1
502965,011,85000,SuppChain,0,0,0,1,0,0,0,0,0,Manager,0,0,0,1,0,0,0,0,1,0,WHITE,0,1,0,15.7,10+,0,0,0,1,55,1,4.5,5,5,2
509909,015,236900,Sales Sup,0,1,0,0,0,0,0,0,0,Vice President,0,0,0,0,0,0,0,1,1,0,WHITE,0,1,0,23.4,10+,0,0,0,1,54,1,7.583333333,9,5,2
509938,015,181500,Mktg,0,0,0,0,0,0,0,1,0,Vice President,0,0,0,0,0,0,0,1,1,0,WHITE,0,0,0,23.6,10+,0,0,0,1,62,1,8.25,9,5,1
519898,014,133600,Mktg,0,0,0,0,0,0,0,1,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,23.8,10+,0,0,0,1,61,1,17.75,8,5,1
519902,015,261000,Mktg,0,0,0,0,0,0,0,1,0,Vice President,0,0,0,0,0,0,0,1,0,0,WHITE,0,0,0,24.5,10+,0,0,0,1,52,1,18.08333333,9,5,1
530468,015,224650,Digital,0,0,0,0,0,0,0,0,1,Vice President,0,0,0,0,0,0,0,1,0,0,WHITE,0,0,0,13.0,10+,0,0,0,1,50,1,0.166666667,9,5,1
549898,014,192400,Mfg,0,0,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,1,WHITE,0,0,0,22.5,10+,0,0,0,1,53,1,0.916666667,8,5,1
549901,013,139321,IT,0,0,0,0,0,1,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,WHITE,0,1,0,23.8,10+,0,0,0,1,63,1,8.833333333,7,5,2
549913,014,206200,IT,0,0,0,0,0,1,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,1,ASIAN,1,1,0,26.6,10+,0,0,0,1,61,1,17.08333333,8,5,2
549992,010,71504,Fin & Acct,0,0,0,0,1,0,0,0,0,Professional,1,0,0,0,0,0,0,0,0,0,HISPA,1,0,0,37.2,10+,0,0,0,1,63,1,0.333333333,2,5,1
549993,008,51192,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,HISPA,1,0,0,35.8,10+,0,0,0,1,61,1,9.5,1,5,1
549998,011,91089,SuppChain,0,0,0,1,0,0,0,0,0,Manager,0,0,0,1,0,0,0,0,0,0,ASIAN,1,0,0,22.0,10+,0,0,0,1,47,1,0.916666667,5,5,1
550056,009,69065,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,HISPA,1,0,0,20.4,10+,0,0,0,1,40,0,2.75,1,5,1
550081,013,127073,SuppChain,0,0,0,1,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,1,0,ASIAN,1,1,0,19.6,10+,0,0,0,1,43,1,2.75,7,5,2
550128,014,170250,Mfg,0,0,0,0,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,1,WHITE,0,1,0,18.5,10+,0,0,0,1,46,1,7.25,8,5,2
550290,014,191900,SuppChain,0,0,0,1,0,0,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,0,0,WHITE,0,0,0,20.5,10+,0,0,0,1,49,1,0.75,8,5,1
550326,007,58386,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,30.2,10+,0,0,0,1,52,1,9.583333333,1,5,1
550327,007,66290,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,1,0,22.3,10+,0,0,0,1,59,1,0.5,1,5,2
550381,010,68016,Fin & Acct,0,0,0,0,1,0,0,0,0,Professional,1,0,0,0,0,0,0,0,0,0,BLACK,1,1,0,33.6,10+,0,0,0,1,55,1,0.333333333,2,5,2
550383,007,46575,Fin & Acct,0,0,0,0,1,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,28.8,10+,0,0,0,1,52,1,10.75,1,5,1
550384,009,70519,Mfg,0,0,0,0,0,0,0,0,0,Supervisor,0,1,0,0,0,0,0,0,1,0,HISPA,1,0,0,29.3,10+,0,0,0,1,61,1,4.5,3,5,1
550385,007,60375,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,HISPA,1,1,0,21.3,10+,0,0,0,1,57,1,0.5,1,5,2
550423,009,60341,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,22.1,10+,0,0,0,1,42,1,1,1,5,1
550430,012,102992,HR,0,0,1,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,WHITE,0,1,0,34.2,10+,0,0,0,1,57,1,1.75,6,5,2
550475,009,57433,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,22.8,10+,0,0,0,1,70,1,4.5,1,5,1
550500,007,69139,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,1,WHITE,0,1,0,22.6,10+,0,0,0,1,54,1,22.58333333,1,5,2
550544,012,99150,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,BLACK,1,0,0,26.7,10+,0,0,0,1,52,1,4.5,6,5,1
550563,007,61693,SuppChain,0,0,0,1,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,22.6,10+,0,0,0,1,53,1,0.166666667,1,5,1
550564,008,59342,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,39.8,10+,0,0,0,1,60,1,2.25,1,5,1
550592,012,97968,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,0,BLACK,1,0,0,21.2,10+,0,0,0,1,54,1,4.5,6,5,1
550606,007,51750,SuppChain,0,0,0,1,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,1,0,32.9,10+,0,0,0,1,66,1,2.666666667,1,5,2
550639,007,62795,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,30.2,10+,0,0,0,1,50,1,23.75,1,5,1
550699,007,64975,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,BLACK,1,1,0,30.3,10+,0,0,0,1,56,1,0.5,1,5,2
550710,009,81424,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,1,0,33.3,10+,0,0,0,1,63,1,4.5,1,5,2
550896,007,58698,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,BLACK,1,0,0,20.7,10+,0,0,0,1,56,1,0.583333333,1,5,1
550944,008,72280,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,1,24.7,10+,0,0,0,1,55,1,2.25,1,5,3
551025,014,191000,IT,0,0,0,0,0,1,0,0,0,Assistant Vice President,0,0,0,0,0,0,1,0,1,0,BLACK,1,0,0,27.4,10+,0,0,0,1,57,1,20.33333333,8,5,1
551138,009,69065,Mfg,0,0,0,0,0,0,0,0,0,Supervisor,0,1,0,0,0,0,0,0,1,0,WHITE,0,0,0,30.3,10+,0,0,0,1,56,1,4.5,3,5,1
551148,008,68536,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,31.3,10+,0,0,0,1,61,1,2.25,1,5,1
551203,013,113294,SuppChain,0,0,0,1,0,0,0,0,0,Director,0,0,0,0,0,1,0,0,0,1,WHITE,0,1,0,23.0,10+,0,0,0,1,47,1,3.25,7,5,2
551268,011,86901,HR,0,0,1,0,0,0,0,0,0,Manager,0,0,0,1,0,0,0,0,0,0,WHITE,0,0,0,36.6,10+,0,0,0,1,57,1,17.08333333,5,5,1
551345,011,87550,Mfg,0,0,0,0,0,0,0,0,0,Manager,0,0,0,1,0,0,0,0,1,0,WHITE,0,0,0,23.6,10+,0,0,0,1,51,1,1.833333333,5,5,1
551387,008,59259,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,41.7,10+,0,0,0,1,61,1,2.25,1,5,1
551429,008,52456,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,31.3,10+,0,0,0,1,64,1,2.25,1,5,1
551468,008,60736,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,38.8,10+,0,0,0,1,65,1,2.25,1,5,1
551498,007,73237,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,WHITE,0,1,0,30.3,10+,0,0,0,1,63,1,9.25,1,5,2
551502,008,71344,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,HISPA,1,1,0,27.8,10+,0,0,0,1,47,1,3.666666667,1,5,2
551514,012,100480,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,1,BLACK,1,1,0,23.1,10+,0,0,0,1,58,1,6.25,6,5,2
551544,009,61200,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,28.9,10+,0,0,0,1,54,1,4.416666667,1,5,1
551572,012,100480,Mfg,0,0,0,0,0,0,0,0,0,Senior Manager,0,0,0,0,1,0,0,0,0,1,WHITE,0,1,0,34.9,10+,0,0,0,1,60,1,4.25,6,5,2
551588,009,63350,Mfg,0,0,0,0,0,0,0,0,0,Supervisor,0,1,0,0,0,0,0,0,1,0,WHITE,0,1,0,23.7,10+,0,0,0,1,50,1,4.5,3,5,2
551610,007,58650,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,30.0,10+,0,0,0,1,59,1,2.5,1,5,1
551667,008,65728,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,29.9,10+,0,0,0,1,57,1,9,1,5,1
551673,007,50600,Fin & Acct,0,0,0,0,1,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,34.3,10+,0,0,0,1,59,1,4.416666667,1,5,1
551689,009,64703,SuppChain,0,0,0,1,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,0,0,WHITE,0,0,0,23.8,10+,0,0,0,1,62,1,9.833333333,1,5,1
551753,010,63950,Mfg,0,0,0,0,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,1,0,WHITE,0,0,0,20.6,10+,0,0,0,1,44,1,2.833333333,2,5,1
551765,007,56763,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,BLACK,1,1,0,25.8,10+,0,0,0,1,55,1,0.583333333,1,5,2
551776,010,65250,SuppChain,0,0,0,1,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,1,0,WHITE,0,1,0,22.1,10+,0,0,0,1,46,1,0.333333333,2,5,2
551779,008,49928,Mfg,0,0,0,0,0,0,0,0,0,Non Managerial,0,0,0,0,0,0,0,0,1,0,BLACK,1,0,0,37.6,10+,0,0,0,1,62,1,9.5,1,5,1
551868,009,65150,SuppChain,0,0,0,1,0,0,0,0,0,Supervisor,0,1,0,0,0,0,0,0,1,0,WHITE,0,0,0,25.2,10+,0,0,0,1,63,1,0.083333333,3,5,1
551925,010,97150,Mfg,0,0,0,0,0,0,0,0,0,Professional,1,0,0,0,0,0,0,0,1,0,WHITE,0,1,0,42.4,10+,0,0,0,1,63,1,4.5,2,5,2
